admin0,AAD,PMD_10,PMD_25,PMD_50,PMD_100,scenario,year
BLR,574.7,0.146,2024.676,11914.579,25540.671,optimistic,2050
BLR,1262.355,2.314,5653.09,28319.458,46961.093,pessimistic,2050
BLR,228.898,0,61.384,2697.169,17249.922,optimistic,2100
BLR,1633.455,33.239,11617.731,33880.394,48781.414,pessimistic,2100
BLZ,57.796,82.572,168.984,1243.606,1790.775,current,2020
BLZ,124.256,110.523,1094.691,2062.014,2817.603,optimistic,2050
BLZ,124.257,110.523,1094.698,2062.027,2817.618,pessimistic,2050
BLZ,212.576,654.412,1722.446,2455.912,2911.815,optimistic,2100
BLZ,212.577,654.415,1722.455,2455.923,2911.835,pessimistic,2100
BOL,1142.358,0,975.73,31977.583,46377.688,current,2020
BOL,3544.933,11149.474,27286.031,40423.767,53006.871,optimistic,2050
BOL,3535.803,10748.482,28478.748,40369.102,51442.241,pessimistic,2050
BOL,3149.118,9251.076,24093.812,38387.427,49250.976,optimistic,2100
BOL,5128.385,19410.55,38451.691,50650.849,63624.496,pessimistic,2100
BRA,15598.65,11392.023,39433.193,372825.527,542560.908,current,2020
BRA,36398.709,94554.445,287237.158,459921.668,625534.513,optimistic,2050
BRA,41953.032,127383.921,316872.804,494654.375,664664.012,pessimistic,2050
BRA,42230.263,136035.984,320551.551,476522.076,627416.121,optimistic,2100
BRA,67062.6,259948.004,489174.519,663965.957,822149.924,pessimistic,2100
BTN,3.507,0,2.599,96.284,147.766,current,2020
BTN,2.795,0.064,23.214,43.611,98.774,optimistic,2050
BTN,0.054,0,0.013,0.72,3.955,pessimistic,2050
BTN,4.081,0.375,29.615,73.898,138.087,optimistic,2100
BTN,0.488,0.019,0.926,6.413,32.039,pessimistic,2100
BWA,97.375,205.437,349.892,1744.936,2793.678,current,2020
BWA,902.849,4331.58,6292.053,7127.377,7546.133,optimistic,2050
BWA,824.696,3744.383,5983.241,6855.327,7382.18,pessimistic,2050
BWA,935.898,4616.555,6410.281,7128.999,7525.126,optimistic,2100
BWA,1250.866,6990.658,7845.644,7921.139,7955.171,pessimistic,2100
CAF,20702.943,59354.183,87069.669,325031.886,478410.055,current,2020
CAF,19036.384,53776.874,129934.464,240802.884,364525.993,optimistic,2050
CAF,23334.252,58559.764,166056.963,308058.456,467482.746,pessimistic,2050
CAF,22529.409,61818.862,157221.68,283990.84,437883.9,optimistic,2100
CAF,57211.836,187692.262,443641.598,634935.202,799824.195,pessimistic,2100
CAN,35.438,0,27.908,985.066,1462.033,current,2020
CAN,21.514,2.025,105.954,421.395,864.564,optimistic,2050
CAN,22.284,5.477,101.8,426.103,914.249,pessimistic,2050
CAN,12.927,0.888,35.45,255.957,630.109,optimistic,2100
CAN,23.513,29.314,168.109,350.157,685.405,pessimistic,2100
CHE,3.219,0,2.317,90.643,131.322,current,2020
CHE,8.483,11.536,66.222,139.14,189.784,optimistic,2050
CHE,5.813,2.62,42.29,107.017,171.93,pessimistic,2050
CHE,15.69,30.667,145.236,209.175,263.058,optimistic,2100
CHE,34.552,137.918,258.78,331.034,378.842,pessimistic,2100
CHL,18.635,0,29.742,505.435,733.701,current,2020
CHL,110.342,422.699,832.806,1100.015,1275.97,optimistic,2050
CHL,130.178,572.956,932.725,1136.045,1285.232,pessimistic,2050
CHL,102.869,381.72,783.498,1050.763,1234.208,optimistic,2100
CHL,254.888,1345.537,1648.269,1783.953,1872.428,pessimistic,2100
CHN,1116.258,0,865.951,31268.223,45625.515,current,2020
CHN,4212.572,10105.536,35038.728,54511.198,71024.558,optimistic,2050
CHN,4749.637,12918.495,38278.763,58594.681,75474.36,pessimistic,2050
CHN,4294.552,10185.811,35628.379,56036.367,73010.872,optimistic,2100
CHN,6987.815,23865.277,54867.43,75080.855,90497.296,pessimistic,2100
CIV,44052.255,58449.493,129173.955,954101.844,1395831.081,current,2020
CIV,86193.271,126721.045,717478.475,1316930.684,1848341.377,optimistic,2050
CIV,119776.801,301131.733,990819.018,1517325.995,1968434.727,pessimistic,2050
CIV,69113.777,89932.212,556192.063,1085537.391,1616212.541,optimistic,2100
CIV,264948.821,1013819.152,2034594.983,2603674.29,3010962.038,pessimistic,2100
CMR,91298.737,182427.435,309589.823,1762112.93,2543014.215,current,2020
CMR,74582.742,168106.503,529997.205,996520.679,1664178.946,optimistic,2050
CMR,59229.194,124320.943,383575.961,829293.682,1486818.774,pessimistic,2050
CMR,65498.749,161530.433,437728.791,867709.317,1448236.806,optimistic,2100
CMR,125620.534,289144.558,916204.7,1766122.873,2473543.278,pessimistic,2100
COD,277221.149,751910.887,1086716.056,4606738.687,6642664.409,current,2020
COD,852486.058,3280838.947,6345394.653,8414918.033,10228801.69,optimistic,2050
COD,670337.293,2545509.239,4834765.263,6836508.283,8566559.283,pessimistic,2050
COD,759384.902,2886356.389,5505148.72,7721305.033,9611721.375,optimistic,2100
COD,1462037.462,6687785.541,10270770.04,12268859.21,13705092.21,pessimistic,2100
COG,6126.742,18794.59,25704.251,93245.384,135420.537,current,2020
COG,6593.169,18332.404,40524.465,89122.707,135649.621,optimistic,2050
COG,5147.26,16896.645,36369.835,58403.301,83473.649,pessimistic,2050
COG,6145.317,19032.682,36027.79,70587.227,138919.283,optimistic,2100
COG,13606.216,42697.595,99223.143,163156.252,210440.554,pessimistic,2100
COL,137.054,0,113.618,3850.202,5550.556,current,2020
COL,559.403,2059.557,4142.696,5785.613,7202.745,optimistic,2050
COL,424.16,1621.657,3069.35,4271.422,5379.172,pessimistic,2050
COL,538.679,1787.029,4141.522,5944.505,7542.548,optimistic,2100
COL,1641.921,8251.401,11003.699,12247.259,13168.735,pessimistic,2100
COM,974.412,2652.898,3803.5,16225.25,23247.758,current,2020
COM,556.632,2769.866,3443.274,3845.093,6501.282,optimistic,2050
COM,951.348,3169.257,3928.022,14533.285,18663.555,pessimistic,2050
COM,711.772,2955.405,3653.5,5990.715,15027.725,optimistic,2100
COM,744.483,3124.37,3778.197,6166.363,15759.048,pessimistic,2100
CPV,0,0,0,0,0,current,2020
CPV,0,0,0,0,0,optimistic,2050
CPV,0,0,0,0,0,pessimistic,2050
CPV,0,0,0,0,0,optimistic,2100
CPV,0,0,0,0,0,pessimistic,2100
CRI,7.086,0,11.365,192.304,278.53,current,2020
CRI,0.024,0,0,0.097,2.201,optimistic,2050
CRI,0.024,0,0,0.097,2.201,pessimistic,2050
CRI,0.061,0,0.021,0.629,4.752,optimistic,2100
CRI,0.061,0,0.021,0.629,4.752,pessimistic,2100
CUB,375.465,0,293.432,10532.141,15308.444,current,2020
CUB,2155.829,6388.942,17833.962,25061.247,30235.107,optimistic,2050
CUB,1616.169,3310.603,14811.791,21362.257,26539.222,pessimistic,2050
CUB,1582.823,3446.512,14110.747,20747.465,25879.238,optimistic,2100
CUB,4464.557,20192.097,32474.391,37352.595,39931.929,pessimistic,2100
CYP,1.294,0,0.989,36.459,52.57,current,2020
CYP,21.24,108.487,144.424,153.576,154.32,optimistic,2050
