admin0,GID_1,AAD,PMD_10,PMD_25,PMD_50,PMD_100,scenario,year
AFG,AFG.29_1,9002.353,45576.711,61283.537,65809.57,67714.867,optimistic,2050
AFG,AFG.30_1,16059.885,77167.353,111924.102,126686.457,133245.598,optimistic,2050
AFG,AFG.31_1,29032.675,106384.02,229504.79,298515.585,324376.954,optimistic,2050
AFG,AFG.32_1,9832.677,41756.567,70921.35,89213.135,103590.395,optimistic,2050
AFG,AFG.32_1,9832.677,41756.567,70921.35,89213.135,103590.395,optimistic,2050
AFG,AFG.33_1,20584.654,90164.704,146041.406,181344.966,209962.794,optimistic,2050
AFG,AFG.34_1,3769.691,16586.025,26636.307,33021.834,38519.999,optimistic,2050
AFG,AFG.1_1,11984.676,35083.733,90418.05,148943.42,188071.216,pessimistic,2050
AFG,AFG.2_1,15374.98,76650.42,104824.022,115320.171,121057.376,pessimistic,2050
AFG,AFG.3_1,42976.001,225381.267,283037.091,299728.322,312182.435,pessimistic,2050
AFG,AFG.4_1,37808.241,202202.204,250134.387,252703.197,252858.155,pessimistic,2050
AFG,AFG.5_1,8576.238,37514.917,60934.264,75758.547,87220.484,pessimistic,2050
AFG,AFG.6_1,6399.018,22945.643,49860.844,66154.497,78692.986,pessimistic,2050
AFG,AFG.7_1,13389.252,68244.164,88071.731,98890.782,106415.088,pessimistic,2050
AFG,AFG.8_1,45656.657,254539.29,285452.496,291346.742,295769.302,pessimistic,2050
AFG,AFG.9_1,17542.446,71366.663,130144.241,164340.131,191320.712,pessimistic,2050
AFG,AFG.10_1,9062.897,35014.138,68407.341,88985.189,104548.618,pessimistic,2050
AFG,AFG.11_1,37700.224,187687.237,251205.149,289469.667,309390.099,pessimistic,2050
AFG,AFG.12_1,90413.357,433543.704,633916.351,717700.954,734831.307,pessimistic,2050
AFG,AFG.13_1,30428.918,168804.149,192983.174,194305.858,194305.858,pessimistic,2050
AFG,AFG.14_1,17985.744,56966.236,146454.087,199814.664,243466.374,pessimistic,2050
AFG,AFG.15_1,39869.383,187276.627,273875.144,326713.778,365243.902,pessimistic,2050
AFG,AFG.16_1,3195.789,4972.869,28468.866,46522.177,62930.373,pessimistic,2050
AFG,AFG.17_1,6708.527,11889.851,57063.665,96267.287,131165.008,pessimistic,2050
AFG,AFG.18_1,2151.095,4985.498,8890.749,37456.939,54777.64,pessimistic,2050
AFG,AFG.19_1,45048.684,248799.391,288124.923,288124.923,288124.923,pessimistic,2050
AFG,AFG.20_1,12578.356,24490.204,116196.071,168300.448,211548.366,pessimistic,2050
AFG,AFG.21_1,8320.697,30016.054,65236.535,84858.489,101246.054,pessimistic,2050
AFG,AFG.22_1,29991.774,97713.708,238832.084,334854.773,397002.405,pessimistic,2050
AFG,AFG.23_1,569.316,3179.539,3539.259,3645.75,3687.715,pessimistic,2050
AFG,AFG.24_1,2521.872,4661.182,19202.607,38055.102,52654.765,pessimistic,2050
AFG,AFG.25_1,4740.4,12827.378,41328.537,56459.162,67533.728,pessimistic,2050
AFG,AFG.26_1,7112.58,11570.803,62701.843,103678.977,137384.63,pessimistic,2050
AFG,AFG.27_1,668.789,1225.508,5794.509,9528.328,12389.155,pessimistic,2050
AFG,AFG.28_1,10120.908,26895.747,87394.34,121139.39,151277.226,pessimistic,2050
AFG,AFG.29_1,9986.879,54342.671,63409.456,66726.754,68169.869,pessimistic,2050
AFG,AFG.30_1,18525.824,95489.416,123445.092,133848.596,136210.67,pessimistic,2050
AFG,AFG.31_1,39826.967,187869.926,287773.701,313046.715,326809.166,pessimistic,2050
AFG,AFG.32_1,6087.949,19225.527,49872.351,67286.714,82476.799,pessimistic,2050
AFG,AFG.32_1,6087.949,19225.527,49872.351,67286.714,82476.799,pessimistic,2050
AFG,AFG.33_1,21412.921,89649.561,157354.861,196378.677,222619.731,pessimistic,2050
AFG,AFG.34_1,2496.631,8148.346,20385.322,26935.511,32767.284,pessimistic,2050
AFG,AFG.1_1,13412.04,34397.998,113419.203,166683.535,210180.118,optimistic,2100
AFG,AFG.2_1,13698.029,62894.058,99526.052,111363.333,120031.434,optimistic,2100
AFG,AFG.3_1,43642.936,226056.771,290085.671,309526.306,324330.558,optimistic,2100
AFG,AFG.4_1,37126.061,195511.015,249926.065,252498.917,252793.861,optimistic,2100
AFG,AFG.5_1,8874.09,41009.348,61448.71,74330.49,82859.735,optimistic,2100
AFG,AFG.6_1,8523.768,36957.258,60998.7,76131.504,86546.382,optimistic,2100
AFG,AFG.7_1,12258.508,61067.22,81515.481,93781.575,101553.543,optimistic,2100
AFG,AFG.8_1,41049.957,213168.852,276972.072,286897.391,291624.103,optimistic,2100
AFG,AFG.9_1,19567.111,84351.21,140815.348,174841.048,200255.488,optimistic,2100
AFG,AFG.10_1,11016.118,47596.255,79673.956,99077.349,108798.763,optimistic,2100
AFG,AFG.11_1,37987.192,189960.256,254706.541,288216.173,303858.082,optimistic,2100
AFG,AFG.12_1,97520.255,474897.083,700721.93,732416.209,735334.529,optimistic,2100
AFG,AFG.13_1,29873.002,163304.481,192834.461,194305.858,194305.858,optimistic,2100
AFG,AFG.14_1,17900.278,59475.913,143973.691,192085.575,235202.729,optimistic,2100
AFG,AFG.15_1,40818.999,191121.918,280819.696,336419.324,374563.269,optimistic,2100
AFG,AFG.16_1,3757.463,5739.329,36120.467,52911.695,68047.717,optimistic,2100
AFG,AFG.17_1,5018.472,10830.798,26513.334,84589.056,118307.783,optimistic,2100
AFG,AFG.18_1,3207.099,6347.149,21970.767,50143.235,69068.914,optimistic,2100
AFG,AFG.19_1,42437.163,222724.506,288024.121,288124.923,288124.923,optimistic,2100
AFG,AFG.20_1,14887.206,38163.725,128543.32,181967.922,228974.198,optimistic,2100
AFG,AFG.21_1,9936.366,42193.054,71632.165,90195.803,104785.819,optimistic,2100
AFG,AFG.22_1,31692.56,103846.674,252489.878,346831.481,427166.755,optimistic,2100
AFG,AFG.23_1,542.935,2975.213,3436.901,3567.718,3658.334,optimistic,2100
AFG,AFG.24_1,3100.767,5357.931,26392.873,45527.12,59871.644,optimistic,2100
AFG,AFG.25_1,7020.681,28913.801,52148.281,65045.199,74246.53,optimistic,2100
AFG,AFG.26_1,9848.977,25069.198,85294.541,120529.066,151969.448,optimistic,2100
AFG,AFG.27_1,1293.255,4667.608,10002.783,13247.82,16142.643,optimistic,2100
AFG,AFG.28_1,12011.963,36577.353,99849.873,134896.767,166229.771,optimistic,2100
AFG,AFG.29_1,9913.474,53197.46,63960.291,67381.498,68768.636,optimistic,2100
AFG,AFG.30_1,17210.165,84789.878,119542.132,130120.425,134708.295,optimistic,2100
AFG,AFG.31_1,38731.43,171885.067,293395.27,323253.64,334203.933,optimistic,2100
AFG,AFG.32_1,9153.146,39702.84,65444.852,81147.733,94211.3,optimistic,2100
AFG,AFG.32_1,9153.146,39702.84,65444.852,81147.733,94211.3,optimistic,2100
AFG,AFG.33_1,21458.204,93296.026,152850.945,190889.654,219677.047,optimistic,2100
AFG,AFG.34_1,3746.213,16092.791,26839.236,33533.237,39269.955,optimistic,2100
AFG,AFG.1_1,20737.119,78257.292,160523.743,203961.915,241120.21,pessimistic,2100
AFG,AFG.2_1,20386.904,116130.578,125314.173,125375.99,125375.99,pessimistic,2100
AFG,AFG.3_1,54872.075,308825.615,336741.293,349444.502,353097.167,pessimistic,2100
AFG,AFG.4_1,42958.944,252588.919,252857.76,252858.043,252858.116,pessimistic,2100
AFG,AFG.5_1,15567.9,84148.873,101016.324,103741.131,103753.676,pessimistic,2100
AFG,AFG.6_1,13234.257,70421.644,87950.547,89084.085,89238.943,pessimistic,2100
AFG,AFG.7_1,18546.058,108013.254,110276.542,111019.652,111327.746,pessimistic,2100
AFG,AFG.8_1,50415.157,294020.448,299675.09,300702.574,301205.733,pessimistic,2100
AFG,AFG.9_1,33981.068,183314.564,221818.608,225791.518,226103.708,pessimistic,2100
AFG,AFG.10_1,17552.013,95347.884,113840.066,115333.934,115694.317,pessimistic,2100
AFG,AFG.11_1,53711.358,311921.308,321011.995,322347.806,323179.159,pessimistic,2100
AFG,AFG.12_1,124601.055,729732.408,737344.769,737776.494,737849.348,pessimistic,2100
AFG,AFG.13_1,33031.207,194298.077,194305.626,194305.791,194305.836,pessimistic,2100
AFG,AFG.14_1,33719.711,164537.51,236664.509,255536.059,268865.823,pessimistic,2100
AFG,AFG.15_1,67677.129,384828.031,416514.474,417785.924,417802.859,pessimistic,2100
AFG,AFG.16_1,5976.487,18842.374,49016.284,65987.584,81184.703,pessimistic,2100
AFG,AFG.17_1,20733.241,89554.597,149028.328,184182.238,213300.348,pessimistic,2100
AFG,AFG.18_1,9802.699,34876.482,77300.15,101955.609,118393.229,pessimistic,2100
AFG,AFG.19_1,48815.173,286465.088,288123.244,288124.35,288124.714,pessimistic,2100
AFG,AFG.20_1,29674.342,133631.358,222251.114,244583.223,252949.7,pessimistic,2100
AFG,AFG.21_1,16303.047,85225.337,107195.972,114672.734,119921.935,pessimistic,2100
AFG,AFG.22_1,69406.515,355490.785,472719.484,497167.137,500531.487,pessimistic,2100
AFG,AFG.23_1,625.988,3678.483,3687.714,3687.715,3687.715,pessimistic,2100
AFG,AFG.24_1,8196.859,30491.259,64443.043,82694.611,91611.94,pessimistic,2100
AFG,AFG.25_1,11791.958,62552.478,78167.391,80187.645,80626.13,pessimistic,2100
AFG,AFG.26_1,20420.723,88889.785,149638.711,177731.614,199156.363,pessimistic,2100
AFG,AFG.27_1,2350.506,10381.401,17131.396,20510.942,21689.1,pessimistic,2100
AFG,AFG.28_1,25439.319,120984.269,176160.179,203158.484,223131.572,pessimistic,2100
AFG,AFG.29_1,11493.341,66321.169,69061.602,69866.833,70142.367,pessimistic,2100
AFG,AFG.30_1,22860.245,132184.184,137395.949,138090.905,138417.007,pessimistic,2100
AFG,AFG.31_1,51383.305,283026.789,325245.295,334905.874,337269.667,pessimistic,2100
AFG,AFG.32_1,15751.068,82173.308,105897.33,109928.146,109928.146,pessimistic,2100
AFG,AFG.32_1,15751.068,82173.308,105897.33,109928.146,109928.146,pessimistic,2100
AFG,AFG.33_1,37464.549,205702.99,238940.111,244071.005,245522.594,pessimistic,2100
AFG,AFG.34_1,7150.862,38540.265,46711.744,47578.336,47679.902,pessimistic,2100
AGO,AGO.1_1,6139.219,17124.056,24487.796,100082.236,144565.696,current,2020
AGO,AGO.2_1,7023.255,17513.254,28660.985,120635.073,171278.868,current,2020
AGO,AGO.3_1,3099.702,8370.071,12026.521,51954.795,74253.862,current,2020
AGO,AGO.4_1,5447.563,14434.294,21055.288,91730.617,132730.985,current,2020
AGO,AGO.5_1,581.833,1536.191,2234.972,9829.241,14223.069,current,2020
AGO,AGO.6_1,898.989,2431.69,3516.732,14956.223,21602.655,current,2020
AGO,AGO.7_1,9294.988,25296.37,36812.186,152504.22,224277.866,current,2020
AGO,AGO.8_1,3416.894,9000.212,13141.996,57781.665,83555.957,current,2020
AGO,AGO.9_1,6353.596,17785.623,25365.719,103371.314,149297.839,current,2020
AGO,AGO.10_1,13250.072,34168.747,52954.687,224841.798,321817.43,current,2020
AGO,AGO.11_1,6468.278,18043.506,25681.849,105877.626,151910.058,current,2020
AGO,AGO.12_1,2018.541,5407.795,7816.641,33898.343,48712.894,current,2020
AGO,AGO.13_1,1105.272,3063.284,4389.628,18094.733,26146.419,current,2020
AGO,AGO.14_1,2637.476,7363.076,10566.51,42841.711,62167.397,current,2020
AGO,AGO.15_1,1776.171,4683.929,6909.662,30133.064,42873.031,current,2020
AGO,AGO.16_1,1249.954,3284.999,4774.3,21263.596,30521.064,current,2020
AGO,AGO.17_1,2703.272,7230.972,11161.828,44482.501,64405.196,current,2020
AGO,AGO.18_1,1951.912,5323.415,7663.216,32346.041,46612.125,current,2020
AGO,AGO.1_1,4993.945,14338.457,26334.374,61421.539,127829.342,optimistic,2050
AGO,AGO.2_1,2899.852,7846.083,15975.536,42870.398,61881.392,optimistic,2050
AGO,AGO.3_1,2788.831,7643.093,15275.451,39386.689,62576.968,optimistic,2050
AGO,AGO.4_1,5073.559,13558.564,29808.917,67373.122,117788.379,optimistic,2050
AGO,AGO.5_1,2110.266,7976.255,16062.912,20956.475,25099.499,optimistic,2050
AGO,AGO.6_1,1151.988,3081.818,6739.841,16775.11,23871.03,optimistic,2050
AGO,AGO.7_1,4928.864,16448.92,29985.902,47375.255,113703.134,optimistic,2050
AGO,AGO.8_1,3533.566,10681.687,20522.951,46388.45,71671.054,optimistic,2050
AGO,AGO.9_1,3567.432,12383.249,21791.393,35463.802,74817.516,optimistic,2050
AGO,AGO.10_1,13858.138,36050.973,85472.456,194555.624,294303.009,optimistic,2050
AGO,AGO.11_1,8595.167,16239.613,59097.734,127185.98,206357.677,optimistic,2050
AGO,AGO.12_1,3527.163,8225.014,30204.741,45159.188,59328.866,optimistic,2050
AGO,AGO.13_1,2065.793,3914.64,17980.236,28757.694,37996.565,optimistic,2050
AGO,AGO.14_1,7144.059,12972.395,63579.628,99460.095,131443.226,optimistic,2050
AGO,AGO.15_1,2891.319,7644.912,24106.763,35670.384,44915.014,optimistic,2050
AGO,AGO.16_1,950.406,2671.286,4470.327,13220.537,24005.406,optimistic,2050
AGO,AGO.17_1,6756.159,13751.101,59899.867,91052.067,116401.252,optimistic,2050
AGO,AGO.18_1,2183.357,5152.11,15935.763,26194.953,50681.636,optimistic,2050
AGO,AGO.1_1,5936.589,13098.761,27569.09,96499.968,159395.041,pessimistic,2050
AGO,AGO.2_1,2566.51,8318.884,18021.063,25246.689,50884.548,pessimistic,2050
AGO,AGO.3_1,5818.66,8674.708,49010.826,87311.534,124452.562,pessimistic,2050
AGO,AGO.4_1,4798.807,12422.037,36512.731,56121.021,97367.322,pessimistic,2050
AGO,AGO.5_1,2667.499,10316.254,20036.351,26049.435,31343.035,pessimistic,2050
AGO,AGO.6_1,825.382,2217.348,6678.724,9636.59,14376.685,pessimistic,2050
AGO,AGO.7_1,5255.28,16704.017,29843.387,61637.397,115839.447,pessimistic,2050
AGO,AGO.8_1,7989.59,24154.382,68977.252,88565.033,104376.092,pessimistic,2050
