,iso,time_horizon,scenario,PMD_1.0_med,PMD_10.0_med,PMD_25.0_med,PMD_50.0_med,PMD_100.0_med,PMD_250.0_med,PMD_1000.0_med,aed_med
62,AND,2100,pessimistic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,ARE,2020,medium,2088.990658,2090.244537652,2090.244537652,2863.7466615000003,2863.7466615000003,2872.8776901,2876.8936625,2481.90569739
64,ARE,2020,optimistic,2088.990658,2090.244537652,2090.244537652,2863.7466615000003,2863.7466615000003,2872.8776901,2876.8936625,2481.90569739
65,ARE,2020,pessimistic,2088.990658,2090.244537652,2090.244537652,2863.7466615000003,2863.7466615000003,2872.8776901,2876.8936625,2481.90569739
66,ARE,2050,medium,2090.244537652,2865.0865373,2872.8776901,2872.8776901,2876.8936625,2961.7006327999998,3073.349653,2592.8149414
67,ARE,2050,optimistic,2090.244537652,2863.7466615000003,2865.0865373,2872.8776901,2872.8776901,2961.7006327999998,3057.019157,2592.3128174999997
68,ARE,2050,pessimistic,2090.244537652,2865.0865373,2872.8776901,2876.8936625,2961.7006327999998,2964.6772100000003,3073.349653,2593.7552369
69,ARE,2100,medium,2961.7006327999998,3073.349653,3087.6700114,3087.6700114,4126.3090054,4126.3090054,4197.035552,3516.26116
70,ARE,2100,optimistic,2865.0865373,2961.7006327999998,2964.6772100000003,2974.7727886000002,3073.349653,3087.6700114,3087.6700114,3385.5109912
71,ARE,2100,pessimistic,4126.3090054,4153.246089,4260.8182,4279.029147,4327.065284,4406.664881,4625.265638,4863.169503
72,ARG,2020,medium,1211.99235166,1692.43513118,2107.9534011429996,3421.0099763300004,3723.94873429,4293.32133304,5799.59239417,1594.186565623
73,ARG,2020,optimistic,1211.99235166,1692.43513118,2107.9534011429996,3421.0099763300004,3723.94873429,4291.81085084,5799.59239417,1594.180523693
74,ARG,2020,pessimistic,1211.99235166,1692.43513118,2107.9534011429996,3421.0099763300004,3723.94873429,4293.32133304,5799.59239417,1594.186565623
75,ARG,2050,medium,1444.46050655,2121.84605393,3599.8924818900005,4622.062404939999,5253.36938054,5798.1008011700005,7738.15438697,1976.54631092
76,ARG,2050,optimistic,1443.20495407,1903.096708793,3539.24993139,4112.442592740001,5013.29216894,5607.73792294,6813.384551069999,1936.7107319499999
77,ARG,2050,pessimistic,1467.67964055,2382.93645223,3637.12351209,4948.626192039999,5275.829817240001,6114.218841870001,8151.61392907,2035.79753713
78,ARG,2100,medium,1967.54875783,5478.02749354,6744.8525163700015,7717.54357877,9909.953951970001,14106.38820567,18859.93363208,3113.88150589
79,ARG,2100,optimistic,1608.542743413,3900.1035850400003,5459.085559040001,6480.59586147,7154.49907627,8114.0244172699995,13184.59999567,2463.7141305400005
80,ARG,2100,pessimistic,3458.17505234,7264.452836869999,11416.40869467,13286.679725670001,17989.170237,23165.686969500002,28240.493284,5207.8052208399995
81,ARM,2020,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,ARM,2020,optimistic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,ARM,2020,pessimistic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,ARM,2050,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,ARM,2050,optimistic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,ARM,2050,pessimistic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,ARM,2100,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,ARM,2100,optimistic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,ARM,2100,pessimistic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,ASM,2020,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,ASM,2020,optimistic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,ASM,2020,pessimistic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,ASM,2050,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,ASM,2050,optimistic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,ASM,2050,pessimistic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,ASM,2100,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,ASM,2100,optimistic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,ASM,2100,pessimistic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,AUS,2020,medium,590.202955428,373.4464416679999,541.344727316,1974.144201586,2545.5036121420003,3118.0595734720005,5371.379764626,731.9829270170001
100,AUS,2020,optimistic,590.202955428,373.4464416679999,541.344727316,1970.806399586,2538.6549078820003,3118.0595734720005,5375.777755626,731.852081857
101,AUS,2020,pessimistic,590.202955428,373.4464416679999,541.344727316,1974.144201586,2545.5036121420003,3118.0595734720005,5371.379764626,731.9829270170001
102,AUS,2050,medium,368.247870496,1543.2155026119997,2034.2590652420001,3005.7689239420006,3691.4418966860003,4749.909439636,7199.443961436,727.16866248
103,AUS,2050,optimistic,368.247870496,1540.541593612,2024.2797199820002,2662.6999131420002,3618.067851666,4746.593792236,6474.079507135999,718.168350104
104,AUS,2050,pessimistic,425.66385943599994,1598.8711559820001,2565.0238360320004,3055.4652358060002,3726.253768636,5295.751923736,7820.875414136,815.527653946
105,AUS,2100,medium,2669.0755200360004,4973.1194170359995,6127.543675400001,7476.107778300003,8016.6857382,9753.4195434,16034.0777251,3696.22597732
106,AUS,2100,optimistic,1558.2204205120001,4202.432226936,4637.770794536,4844.595611336,6155.357055500001,7906.3921649,10679.4712927,2364.7249981919995
107,AUS,2100,pessimistic,5672.5017303,7958.353981,9310.656383600002,10110.5291495,17707.690677,22227.728412800003,30382.926276599996,7339.344713199999
108,AUT,2020,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
