Period,Scenario,AAD,RP_10,RP_25,RP_50,RP_100,RP_250,iso3
hist,ERA-5,16273.151866621523,19054.176122878103,119332.0818354532,267876.0077041013,419899.0379442956,581160.5229104554,USA
2050,ssp245,67884.25757722653,151593.21717870416,311401.0259638827,423957.51646579296,651862.9432770975,1012480.241670442,USA
2100,ssp245,89288.1605361369,229013.48198223973,323870.4540859044,514848.4772709824,834644.8224535459,1306651.6008861037,USA
2050,ssp370,64649.7915707583,179097.49755133188,281899.1959975984,406986.5223406632,539448.4056594614,821568.7306822083,USA
2100,ssp370,134031.3032269666,236697.2471858392,313213.22411534056,675224.8779736995,1137051.5515125613,1673181.3615603368,USA
2050,ssp585,72849.89187216495,204305.56677546096,261376.86700274312,401406.08161546726,575411.5868126133,912125.9336148344,USA
2100,ssp585,157990.616595826,303933.8064689886,423301.11391752766,857960.6037731485,1813023.351080707,3446310.065054716,USA
hist,ERA-5,0.0,0.0,0.0,0.0,0.0,0.0,MDV
2050,ssp245,0.1321745921091147,0.0,0.0,0.0,0.0,0.0,MDV
2100,ssp245,0.8618665434178111,0.0,0.0,0.0,0.0,0.0,MDV
2050,ssp370,0.2530526423031946,0.0,0.0,0.0,0.0,0.0,MDV
2100,ssp370,0.0,0.0,0.0,0.0,0.0,0.0,MDV
2050,ssp585,0.0,0.0,0.0,0.0,0.0,0.0,MDV
2100,ssp585,1.2485656341895088,0.0,0.0,0.0,0.0,0.0,MDV
hist,ERA-5,0.0,0.0,0.0,0.0,0.0,0.0,SYC
2050,ssp245,0.0,0.0,0.0,0.0,0.0,0.0,SYC
2100,ssp245,0.0,0.0,0.0,0.0,0.0,0.0,SYC
2050,ssp370,0.0,0.0,0.0,0.0,0.0,0.0,SYC
2100,ssp370,0.0,0.0,0.0,0.0,0.0,0.0,SYC
2050,ssp585,0.0,0.0,0.0,0.0,0.0,0.0,SYC
2100,ssp585,0.0,0.0,0.0,0.0,0.0,0.0,SYC
hist,ERA-5,0.0767980208591071,0.0,0.0,0.0,0.0,0.0,KHM
2050,ssp245,376.8394355585639,0.0,0.0,0.0,0.0,0.0,KHM
2100,ssp245,51.23521065066086,0.0,0.0,0.0,0.0,73197.16767952367,KHM
2050,ssp370,0.0767980208591071,0.0,0.0,0.0,0.0,0.0,KHM
2100,ssp370,0.353642513176473,0.0,0.0,0.0,0.0,0.0,KHM
2050,ssp585,288.0170620182738,0.0,0.0,0.0,0.0,28404.17486661621,KHM
2100,ssp585,867.93289729612,0.0,0.0,0.0,0.0,0.0,KHM
hist,ERA-5,757.9753214201373,0.0,0.0,0.0,0.0,0.0,CHN
2050,ssp245,1025.9001049981118,0.0,0.0,0.0,0.0,98829.49331225827,CHN
2100,ssp245,6079.473585100396,0.0,0.0,14742.24066414008,125679.82815158532,636530.5804842,CHN
2050,ssp370,1755.814159918706,0.0,0.0,7577.9469505784145,45872.36148529062,120743.49273783014,CHN
2100,ssp370,9776.062177334172,0.0,643.6140952756277,146139.19363585208,433265.77578229125,601737.7905936,CHN
2050,ssp585,2366.3704616466584,0.0,0.0,109.44743211935128,72326.73316806463,202680.1084087468,CHN
2100,ssp585,15079.881293506076,0.0,21443.76510743592,193895.33137099625,318172.6622932655,1524393.4526982796,CHN
hist,ERA-5,0.0,0.0,0.0,0.0,0.0,0.0,GMB
2050,ssp245,0.0,0.0,0.0,0.0,0.0,0.0,GMB
2100,ssp245,0.0,0.0,0.0,0.0,0.0,0.0,GMB
2050,ssp370,0.0,0.0,0.0,0.0,0.0,0.0,GMB
2100,ssp370,0.0,0.0,0.0,0.0,0.0,0.0,GMB
2050,ssp585,0.0,0.0,0.0,0.0,0.0,0.0,GMB
2100,ssp585,0.0,0.0,0.0,0.0,0.0,0.0,GMB
hist,ERA-5,0.0,0.0,0.0,0.0,0.0,0.0,BRA
2050,ssp245,0.0,0.0,0.0,0.0,0.0,0.0,BRA
2100,ssp245,0.0,0.0,0.0,0.0,0.0,0.0,BRA
2050,ssp370,0.0,0.0,0.0,0.0,0.0,0.0,BRA
2100,ssp370,0.0,0.0,0.0,0.0,0.0,0.0,BRA
2050,ssp585,0.0,0.0,0.0,0.0,0.0,0.0,BRA
2100,ssp585,0.0,0.0,0.0,0.0,0.0,0.0,BRA
hist,ERA-5,0.0,0.0,0.0,0.0,0.0,0.0,KNA
2050,ssp245,0.0,0.0,0.0,0.0,0.0,0.0,KNA
2100,ssp245,0.0,0.0,0.0,0.0,0.0,0.0,KNA
2050,ssp370,0.0,0.0,0.0,0.0,0.0,0.0,KNA
2100,ssp370,0.0,0.0,0.0,0.0,0.0,0.0,KNA
2050,ssp585,0.0,0.0,0.0,0.0,0.0,0.0,KNA
2100,ssp585,0.0,0.0,0.0,0.0,0.0,0.0,KNA
hist,ERA-5,0.7676552776526608,0.0,0.0,0.0,0.0,0.0,PLW
2050,ssp245,11.834601714749606,0.0,0.0,0.0,0.0,-107.0866924654528,PLW
2100,ssp245,1.6525993717543197,0.0,0.0,0.0,0.0,0.0,PLW
2050,ssp370,0.7676552776526608,0.0,0.0,0.0,0.0,0.0,PLW
2100,ssp370,44.27227604439485,0.0,0.0,0.0,0.0,6190.31281496146,PLW
2050,ssp585,0.7676552776526608,0.0,0.0,0.0,0.0,1740.0289861453252,PLW
2100,ssp585,27.34467320002634,0.0,0.0,0.0,56.78748797063146,3096.390199392068,PLW
hist,ERA-5,0.0,0.0,0.0,0.0,0.0,0.0,SSD
2050,ssp245,0.0,0.0,0.0,0.0,0.0,0.0,SSD
2100,ssp245,0.0,0.0,0.0,0.0,0.0,0.0,SSD
2050,ssp370,0.0,0.0,0.0,0.0,0.0,0.0,SSD
2100,ssp370,0.0,0.0,0.0,0.0,0.0,0.0,SSD
2050,ssp585,0.0,0.0,0.0,0.0,0.0,0.0,SSD
2100,ssp585,0.0,0.0,0.0,0.0,0.0,0.0,SSD
hist,ERA-5,0.0,0.0,0.0,0.0,0.0,0.0,MAR
2050,ssp245,0.0,0.0,0.0,0.0,0.0,0.0,MAR
2100,ssp245,0.0,0.0,0.0,0.0,0.0,0.0,MAR
2050,ssp370,0.0,0.0,0.0,0.0,0.0,0.0,MAR
2100,ssp370,0.0,0.0,0.0,0.0,0.0,0.0,MAR
2050,ssp585,0.0,0.0,0.0,0.0,0.0,0.0,MAR
2100,ssp585,0.0,0.0,0.0,0.0,0.0,0.0,MAR
hist,ERA-5,0.0,0.0,0.0,0.0,0.0,0.0,OMN
