admin0,GID_1,AAD,PMD_2,PMD_5,PMD_10,PMD_25,PMD:50,PMD_100,PMD_250,PMD_500,PMD_1000,scenario,year
MNG,MNG.1_1,0,0,0,0,0.02,0.02,0.02,0.02,0.03,0.04,current,2020
MNG,MNG.10_1,2.32,0.69,3.01,6.55,12.4,12.61,12.72,13.09,14.16,15.33,current,2020
MNG,MNG.11_1,0.5,0.08,0.46,1.67,3.19,3.25,3.66,3.7,3.74,3.79,current,2020
MNG,MNG.12_1,24.17,8.95,36.91,68.04,110.6,139.12,165.68,210.47,233.61,288.64,current,2020
MNG,MNG.13_1,0.01,0,0,0,0,0.02,0.02,1.34,1.63,2.18,current,2020
MNG,MNG.14_1,0.01,0,0.01,0.07,0.1,0.12,0.14,0.15,0.16,0.17,current,2020
MNG,MNG.15_1,0.88,0.11,0.31,1.43,3.49,13.17,19.76,22.85,29.07,49.45,current,2020
MNG,MNG.16_1,0,0,0,0,0,0,0,0,0,0,current,2020
MNG,MNG.17_1,4.62,0.81,2.26,3.37,63.82,65.83,66.35,88.32,109.61,111.23,current,2020
MNG,MNG.18_1,0.14,0,0.09,0.43,1,1.69,2.36,3.08,3.28,3.85,current,2020
MNG,MNG.19_1,10.87,1.12,15.28,33.6,81.21,96.24,109.52,122.4,127.92,139.09,current,2020
MNG,MNG.2_1,0,0,0,0,0,0,0,0,0,0,current,2020
MNG,MNG.20_1,0.14,0.08,0.16,0.29,0.47,0.64,0.73,1.1,1.99,2.81,current,2020
MNG,MNG.21_1,0,0,0,0,0,0,0,0,0,0,current,2020
MNG,MNG.22_1,0,0,0,0,0,0.01,0.02,0.02,0.02,0.02,current,2020
MNG,MNG.3_1,5.31,1.48,4.38,13.35,21.91,39.33,53.29,72.92,72.98,74.77,current,2020
MNG,MNG.4_1,0.1,0,0.02,0.1,0.47,1.12,1.64,2.2,11.42,12.91,current,2020
MNG,MNG.5_1,0.01,0,0,0,0.26,0.26,0.26,0.26,0.26,0.26,current,2020
MNG,MNG.6_1,60.87,23.71,111.74,140.03,196.09,275.14,367.72,490.22,541.49,686.26,current,2020
MNG,MNG.7_1,0.78,0.37,0.68,0.9,1.04,1.22,1.41,1.69,1.88,2.33,current,2020
MNG,MNG.8_1,1.28,0.61,2.49,3.15,3.69,3.84,4.23,5.47,7.37,8.09,current,2020
