admin1_code,scenario,year,PMD_1,PMD_10,PMD_25,PMD_50,PMD_100,PMD_250,PMD_1000,AAD,admin0
AFG.22_1,medium,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AFG
AFG.22_1,optimistic,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AFG
AFG.22_1,optimistic,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AFG
AFG.22_1,pessimistic,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AFG
AFG.22_1,pessimistic,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AFG
AFG.23_1,current,2020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AFG
AFG.23_1,medium,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AFG
AFG.23_1,medium,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AFG
AFG.23_1,optimistic,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AFG
AFG.23_1,optimistic,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AFG
AFG.23_1,pessimistic,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AFG
AFG.23_1,pessimistic,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AFG
AFG.24_1,current,2020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AFG
AFG.24_1,medium,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AFG
AFG.24_1,medium,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AFG
AFG.24_1,optimistic,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AFG
AFG.24_1,optimistic,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AFG
AFG.24_1,pessimistic,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AFG
AFG.24_1,pessimistic,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AFG
AFG.25_1,current,2020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AFG
AFG.25_1,medium,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AFG
AFG.25_1,medium,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AFG
AFG.25_1,optimistic,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AFG
AFG.25_1,optimistic,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AFG
AFG.25_1,pessimistic,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AFG
AFG.25_1,pessimistic,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AFG
AFG.26_1,current,2020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AFG
AFG.26_1,medium,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AFG
AFG.26_1,medium,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AFG
AFG.26_1,optimistic,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AFG
AFG.26_1,optimistic,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AFG
AFG.26_1,pessimistic,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AFG
AFG.26_1,pessimistic,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AFG
AFG.34_1,current,2020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AFG
AFG.34_1,medium,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AFG
AFG.34_1,medium,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AFG
AFG.34_1,optimistic,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AFG
AFG.34_1,optimistic,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AFG
AFG.34_1,pessimistic,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AFG
AFG.34_1,pessimistic,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AFG
AGO.1_1,current,2020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AGO
AGO.1_1,medium,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AGO
AGO.1_1,medium,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AGO
AGO.1_1,optimistic,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AGO
AGO.1_1,optimistic,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AGO
AGO.1_1,pessimistic,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AGO
AGO.1_1,pessimistic,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AGO
AGO.2_1,current,2020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AGO
AGO.2_1,medium,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AGO
AGO.2_1,medium,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AGO
AGO.2_1,optimistic,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AGO
AGO.2_1,optimistic,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AGO
