Period,Scenario,AAD,RP_10,RP_25,RP_50,RP_100,RP_250,iso3
2050,ssp370,0.0,0.0,0.0,0.0,0.0,0.0,MAR
2100,ssp370,0.0,0.0,0.0,0.0,0.0,0.0,MAR
2050,ssp585,0.0,0.0,0.0,0.0,0.0,0.0,MAR
2100,ssp585,0.0,0.0,0.0,0.0,0.0,0.0,MAR
hist,ERA-5,0.2285052366437777,0.0,0.0,0.0,0.0,0.0,OMN
2050,ssp245,1.010616857092841,0.0,0.0,0.0,0.0,0.0,OMN
2100,ssp245,1.4940870037794198,0.0,0.0,0.0,0.0,0.0,OMN
2050,ssp370,3.5741297122637423,0.0,0.0,0.0,0.0,0.0,OMN
2100,ssp370,9.38490468204999,0.0,0.0,0.0,0.0,0.0,OMN
2050,ssp585,0.2285052366437777,0.0,0.0,0.0,0.0,0.0,OMN
2100,ssp585,31.79630699726033,0.0,0.0,0.0,0.0,0.0,OMN
hist,ERA-5,0.0,0.0,0.0,0.0,0.0,0.0,AGO
2050,ssp245,0.0,0.0,0.0,0.0,0.0,0.0,AGO
2100,ssp245,0.0,0.0,0.0,0.0,0.0,0.0,AGO
2050,ssp370,0.0,0.0,0.0,0.0,0.0,0.0,AGO
2100,ssp370,0.0,0.0,0.0,0.0,0.0,0.0,AGO
2050,ssp585,0.0,0.0,0.0,0.0,0.0,0.0,AGO
2100,ssp585,0.0,0.0,0.0,0.0,0.0,0.0,AGO
hist,ERA-5,12.857147077947504,0.0,0.0,0.0,0.0,0.0,MAF
2050,ssp245,12.857147077947504,0.0,0.0,0.0,0.0,0.0,MAF
2100,ssp245,12.857147077947504,0.0,0.0,0.0,0.0,0.0,MAF
2050,ssp370,12.857147077947504,0.0,0.0,0.0,0.0,0.0,MAF
2100,ssp370,12.857147077947504,0.0,0.0,0.0,0.0,0.0,MAF
2050,ssp585,12.857147077947504,0.0,0.0,0.0,0.0,0.0,MAF
2100,ssp585,12.857147077947504,0.0,0.0,0.0,0.0,0.0,MAF
hist,ERA-5,0.0,0.0,0.0,0.0,0.0,0.0,ABW
2050,ssp245,0.0,0.0,0.0,0.0,0.0,0.0,ABW
2100,ssp245,0.0,0.0,0.0,0.0,0.0,0.0,ABW
2050,ssp370,0.0,0.0,0.0,0.0,0.0,0.0,ABW
2100,ssp370,0.0,0.0,0.0,0.0,0.0,0.0,ABW
2050,ssp585,0.0,0.0,0.0,0.0,0.0,0.0,ABW
2100,ssp585,0.0,0.0,0.0,0.0,0.0,0.0,ABW
hist,ERA-5,2.770840802417175,0.0,0.0,0.0,0.0,0.0,TWN
2050,ssp245,38.73404573846,0.0,0.0,0.0,0.0,54.08918795485426,TWN
2100,ssp245,351.5808451383967,0.0,0.0,0.0,265.93118340321365,7661.973502122972,TWN
2050,ssp370,87.67331987556618,0.0,0.0,0.0,42.54196497466364,19336.512806286955,TWN
2100,ssp370,185.7778951834415,0.0,0.0,0.0,319.7107299535618,11234.31802844154,TWN
2050,ssp585,83.19890535578418,0.0,0.0,0.0,218.80604751096143,588.1267811815176,TWN
2100,ssp585,352.20464371785545,0.0,0.0,55.23532815057143,1538.6007451416478,50727.80272595914,TWN
hist,ERA-5,344.8600766351464,0.0,0.0,0.0,197.1104947070226,14177.783962400015,VEN
2050,ssp245,434.442986392429,0.0,0.0,0.0,197.1104947070226,14177.783962400015,VEN
2100,ssp245,444.60964147480007,0.0,0.0,0.0,197.1104947070226,18400.67302963476,VEN
2050,ssp370,413.1709145055854,0.0,0.0,0.0,197.1104947070226,15214.615865180063,VEN
2100,ssp370,382.2926714248535,0.0,0.0,0.0,197.1104947070226,14343.977632528891,VEN
2050,ssp585,568.9864203074015,0.0,0.0,0.0,197.1104947070226,23536.28194364071,VEN
2100,ssp585,497.910078141192,0.0,0.0,0.0,197.1104947070226,17428.10232144252,VEN
hist,ERA-5,104316.77139945683,28751.85220613671,388132.8620162941,1174468.3518567935,2680808.849080687,6597027.4739226615,PHL
2050,ssp245,412496.63872658537,707733.7244887055,2933950.0620417404,4607429.935174455,8473157.33948028,9297238.449966148,PHL
2100,ssp245,603238.7015635644,1190340.5298316467,2797663.596335382,4090787.938415342,12456316.968685515,11504743.44835946,PHL
2050,ssp370,564642.9547682381,962003.8047270736,3090186.3782457765,6464163.342715108,12779455.699415172,17418521.229129635,PHL
2100,ssp370,559061.0492345789,981733.240858286,2193161.960748294,4256900.05036058,5917350.334619045,12103763.724889431,PHL
2050,ssp585,611661.2876662182,913564.262621165,3258958.1365751047,6833296.037063613,15400413.26358904,22787482.579973813,PHL
2100,ssp585,878318.536479776,1343988.525134454,4303322.870758641,7553838.931749386,13943498.934100283,18556164.372510165,PHL
hist,ERA-5,0.0145888703874032,0.0,0.0,0.0,0.0,0.0,WSM
2050,ssp245,0.0145888703874032,0.0,0.0,0.0,0.0,0.0,WSM
2100,ssp245,31.244593456071023,0.0,0.0,0.0,0.0,0.0,WSM
2050,ssp370,10.892637008546004,0.0,0.0,0.0,0.0,0.0,WSM
2100,ssp370,0.0145888703874032,0.0,0.0,0.0,0.0,0.0,WSM
2050,ssp585,7.038455520417614,0.0,0.0,0.0,0.0,0.0,WSM
2100,ssp585,1.0501721205381,0.0,0.0,0.0,0.0,0.0,WSM
hist,ERA-5,0.0,0.0,0.0,0.0,0.0,0.0,SPM
2050,ssp245,0.0,0.0,0.0,0.0,0.0,0.0,SPM
2100,ssp245,0.0,0.0,0.0,0.0,0.0,0.0,SPM
2050,ssp370,0.0,0.0,0.0,0.0,0.0,0.0,SPM
2100,ssp370,0.0,0.0,0.0,0.0,0.0,0.0,SPM
2050,ssp585,0.0,0.0,0.0,0.0,0.0,0.0,SPM
2100,ssp585,0.0,0.0,0.0,0.0,0.0,0.0,SPM
hist,ERA-5,0.0,0.0,0.0,0.0,0.0,0.0,FRO
2050,ssp245,0.0,0.0,0.0,0.0,0.0,0.0,FRO
2100,ssp245,0.0,0.0,0.0,0.0,0.0,0.0,FRO
2050,ssp370,0.0,0.0,0.0,0.0,0.0,0.0,FRO
2100,ssp370,0.0,0.0,0.0,0.0,0.0,0.0,FRO
2050,ssp585,0.0,0.0,0.0,0.0,0.0,0.0,FRO
2100,ssp585,0.0,0.0,0.0,0.0,0.0,0.0,FRO
hist,ERA-5,0.4958106003424194,0.0,0.0,0.0,0.0,0.0,CAN
2050,ssp245,94.60841795954931,0.0,0.0,170.95366714925325,2967.1858803738523,4786.2749273859845,CAN
2100,ssp245,92.80489693932552,0.0,0.0,334.4771992904483,936.7996731158572,11007.424794222356,CAN
2050,ssp370,107.31697438071149,0.0,0.0,16.941252236162565,790.220565916049,9003.647740127975,CAN
2100,ssp370,97.88531496803525,0.0,0.0,212.1556796428397,1900.2750048476748,8595.484267871014,CAN
2050,ssp585,107.60980331161312,0.0,0.0,100.42560378519488,1289.9073720398455,15666.436404554395,CAN
2100,ssp585,271.77370642820586,0.0,38.72055689037023,3087.895438038798,9594.7190466233,16578.745419005285,CAN
hist,ERA-5,2995.845245871664,0.0,0.0,0.0,0.0,29059.43207234167,IND
2050,ssp245,33639.74055323332,0.0,0.0,9993.996587775577,315744.31271045795,1712442.4732461155,IND
2100,ssp245,14653.186533528044,0.0,440.1792757294237,175873.70322026958,156.38015765495703,607265.0620435806,IND
2050,ssp370,11103.65773704201,0.0,0.0,1690.3573514543682,60862.19670805274,791272.0595972058,IND
2100,ssp370,49244.40339552083,0.0,4259.621716869444,515874.1407617754,1841655.4787314965,3044895.814740708,IND
2050,ssp585,31414.85606021852,0.0,0.0,77937.55698036257,699370.2268304749,2254685.033881532,IND
2100,ssp585,132866.57834629575,0.0,155139.35303711184,1429407.4458503409,3100155.770121526,6944594.956610376,IND
hist,ERA-5,0.0,0.0,0.0,0.0,0.0,0.0,SUR
2050,ssp245,0.0,0.0,0.0,0.0,0.0,0.0,SUR
2100,ssp245,0.0,0.0,0.0,0.0,0.0,0.0,SUR
2050,ssp370,0.0,0.0,0.0,0.0,0.0,0.0,SUR
2100,ssp370,0.0,0.0,0.0,0.0,0.0,0.0,SUR
2050,ssp585,0.0,0.0,0.0,0.0,0.0,0.0,SUR
2100,ssp585,0.0,0.0,0.0,0.0,0.0,0.0,SUR
hist,ERA-5,0.0177402135796233,0.0,0.0,0.0,0.0,0.0,TCA
2050,ssp245,0.0177402135796233,0.0,0.0,0.0,0.0,0.0,TCA
2100,ssp245,0.0177402135796233,0.0,0.0,0.0,0.0,0.0,TCA
2050,ssp370,0.0177402135796233,0.0,0.0,0.0,0.0,0.0,TCA
2100,ssp370,0.0177402135796233,0.0,0.0,0.0,0.0,0.0,TCA
2050,ssp585,0.0177402135796233,0.0,0.0,0.0,0.0,0.0,TCA
2100,ssp585,0.7481650433579669,0.0,0.0,0.0,0.0,0.0,TCA
hist,ERA-5,0.0,0.0,0.0,0.0,0.0,0.0,ZWE
2050,ssp245,0.0,0.0,0.0,0.0,0.0,0.0,ZWE
2100,ssp245,0.0,0.0,0.0,0.0,0.0,0.0,ZWE
2050,ssp370,0.0,0.0,0.0,0.0,0.0,0.0,ZWE
2100,ssp370,0.0,0.0,0.0,0.0,0.0,0.0,ZWE
2050,ssp585,0.0,0.0,0.0,0.0,0.0,0.0,ZWE
2100,ssp585,0.0,0.0,0.0,0.0,0.0,0.0,ZWE
hist,ERA-5,56.98333271400952,0.0,0.0,27.807893860493035,1311.9222344430666,4397.680919451481,AUS
2050,ssp245,130.94912324157798,25.36337052355444,330.0451209382518,72.1399933923339,11981.206005640986,32538.77518492397,AUS
2100,ssp245,555.4152990023398,151.30130810162927,1606.736594076845,3546.4394908971435,18883.34070119654,82793.49381743453,AUS
2050,ssp370,28.40261444445042,14.658448799838206,-85.25830541734047,-914.1025234549736,3310.8061738215138,5356.150270121752,AUS
2100,ssp370,1263.9049893320955,594.9048239089187,3972.268980918037,10138.283838779833,36944.333249894014,79890.95477178028,AUS
2050,ssp585,365.422653537732,226.91830774499928,392.8894783998068,3195.310782221794,8575.102837621696,47135.78125811402,AUS
2100,ssp585,698.5040250664456,1386.4399760228068,2863.195645700764,8182.036674730908,29847.536023303084,74241.618682311,AUS
hist,ERA-5,0.0,0.0,0.0,0.0,0.0,0.0,JOR
2050,ssp245,0.0,0.0,0.0,0.0,0.0,0.0,JOR
2100,ssp245,0.0,0.0,0.0,0.0,0.0,0.0,JOR
2050,ssp370,0.0,0.0,0.0,0.0,0.0,0.0,JOR
2100,ssp370,0.0,0.0,0.0,0.0,0.0,0.0,JOR
2050,ssp585,0.0,0.0,0.0,0.0,0.0,0.0,JOR
2100,ssp585,0.0,0.0,0.0,0.0,0.0,0.0,JOR
hist,ERA-5,0.0,0.0,0.0,0.0,0.0,0.0,RWA
2050,ssp245,0.0,0.0,0.0,0.0,0.0,0.0,RWA
2100,ssp245,0.0,0.0,0.0,0.0,0.0,0.0,RWA
