admin0,scenario,year,AAD,PMD_1,PMD_10,PMD_25,PMD_50,PMD_100,PMD_250,PMD_1000
ARG,medium,2100.0,3113.88150589,1967.54875783,5478.027493539999,6744.85251637,7717.54357877,9909.953951970001,14106.38820567,18859.933632080003
ARG,optimistic,2050.0,1936.7107319499999,1443.20495407,1903.096708793,3539.2499313900003,4112.44259274,5013.29216894,5607.737922939999,6813.38455107
ARG,optimistic,2100.0,2463.71413054,1608.5427434130002,3900.1035850400003,5459.085559040001,6480.59586147,7154.49907627,8114.0244172699995,13184.59999567
ARG,pessimistic,2050.0,2035.7975371299997,1467.67964055,2382.93645223,3637.12351209,4948.62619204,5275.82981724,6114.218841870001,8151.613929069999
ARG,pessimistic,2100.0,5207.80522084,3458.1750523399996,7264.45283687,11416.40869467,13286.679725670001,17989.170237,23165.6869695,28240.493284
ARM,current,2020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARM,medium,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARM,medium,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARM,optimistic,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARM,optimistic,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARM,pessimistic,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARM,pessimistic,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASM,current,2020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASM,medium,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASM,medium,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASM,optimistic,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASM,optimistic,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASM,pessimistic,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASM,pessimistic,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATF,current,2020.0,,,,,,,,
ATF,medium,2050.0,,,,,,,,
ATF,medium,2100.0,,,,,,,,
ATF,optimistic,2050.0,,,,,,,,
ATF,optimistic,2100.0,,,,,,,,
ATF,pessimistic,2050.0,,,,,,,,
ATF,pessimistic,2100.0,,,,,,,,
ATG,current,2020.0,,,,,,,,
ATG,medium,2050.0,,,,,,,,
ATG,medium,2100.0,,,,,,,,
ATG,optimistic,2050.0,,,,,,,,
ATG,optimistic,2100.0,,,,,,,,
ATG,pessimistic,2050.0,,,,,,,,
ATG,pessimistic,2100.0,,,,,,,,
AUS,current,2020.0,731.9829270170001,590.202955428,373.4464416679999,541.344727316,1974.144201586,2545.5036121419994,3118.059573472,5371.379764626
AUS,medium,2050.0,727.16866248,368.247870496,1543.2155026119997,2034.2590652420001,3005.7689239419997,3691.441896686,4749.909439636,7199.443961436
AUS,medium,2100.0,3696.2259773200003,2669.0755200360004,4973.1194170359995,6127.5436754,7476.1077783,8016.685738200001,9753.4195434,16034.0777251
AUS,optimistic,2050.0,718.1683501040001,368.247870496,1540.5415936119998,2024.2797199820002,2662.6999131419993,3618.0678516659996,4746.593792236,6474.079507136001
AUS,optimistic,2100.0,2364.724998192,1558.220420512,4202.432226936,4637.770794536,4844.595611336,6155.357055500001,7906.392164899999,10679.4712927
AUS,pessimistic,2050.0,815.5276539459999,425.663859436,1598.8711559820001,2565.0238360319995,3055.465235806,3726.253768636,5295.751923736,7820.875414136001
AUS,pessimistic,2100.0,7339.344713199999,5672.5017303,7958.353981000001,9310.6563836,10110.5291495,17707.690677,22227.728412800003,30382.9262766
AUT,current,2020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUT,medium,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUT,medium,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUT,optimistic,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUT,optimistic,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUT,pessimistic,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUT,pessimistic,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AZE,current,2020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AZE,medium,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AZE,medium,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AZE,optimistic,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AZE,optimistic,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AZE,pessimistic,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AZE,pessimistic,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BDI,current,2020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BDI,medium,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BDI,medium,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BDI,optimistic,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BDI,optimistic,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BDI,pessimistic,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BDI,pessimistic,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BEL,current,2020.0,4386.801051,2971.7384690000004,4347.501783,4704.075269,4875.112775,24808.07943,71613.96886000001,160110.468
BEL,medium,2050.0,6939.024543218,3398.4996920000003,4704.075269,13601.09901,38545.18879,89659.19613,151079.6002,254259.226317782
BEL,medium,2100.0,24297.309795446,4347.501783,57410.53024,139039.022840876,216361.39390065,271424.89856781,310848.15713915,362324.5771632
BEL,optimistic,2050.0,6518.688794244,3398.4996920000003,4704.075269,7959.481809999999,35797.851460000005,81468.46601,138432.2845,247031.475543895
BEL,optimistic,2100.0,16690.009155404,4163.753794,29046.01655,82113.69421,138859.8957,213086.40640065,275799.71126459,325845.12043915
BEL,pessimistic,2050.0,7827.210025001001,3863.634458,4704.075269,17918.40796,41793.64674,101980.5083,164500.7396,262750.74600065
BEL,pessimistic,2100.0,42103.767799278,4875.112775,154758.82854389498,259259.36516781,303316.1354031,339878.90343669994,373251.9948826,424277.8338171
BEN,current,2020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BEN,medium,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BEN,medium,2100.0,70.27116502,59.80524682,59.80524682,59.80524682,59.80524682,59.80524682,59.80524682,59.80524682
BEN,optimistic,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BEN,optimistic,2100.0,10.46591819,0.0,59.80524682,59.80524682,59.80524682,59.80524682,59.80524682,59.80524682
BEN,pessimistic,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BEN,pessimistic,2100.0,595.54625572,506.84787722,506.84787722,506.84787722,506.84787722,506.84787722,506.84787722,506.84787722
BES,current,2020.0,,,,,,,,
BES,medium,2050.0,,,,,,,,
BES,medium,2100.0,,,,,,,,
BES,optimistic,2050.0,,,,,,,,
BES,optimistic,2100.0,,,,,,,,
BES,pessimistic,2050.0,,,,,,,,
BES,pessimistic,2100.0,,,,,,,,
BFA,current,2020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BFA,medium,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BFA,medium,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BFA,optimistic,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BFA,optimistic,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BFA,pessimistic,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BFA,pessimistic,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BGD,current,2020.0,777605.390490025,511759.09454792,681899.8022168,892008.928124,1575241.5854840002,5140251.733753,13129963.1755764,26548756.854569003
BGD,medium,2050.0,898435.34165564,578623.4421068,868873.949424,1126957.995937,1986121.5778040001,6224735.079593101,14491144.598962398,27911823.909959
BGD,medium,2100.0,1476408.6457766,1004370.8039981,1392011.5635071,1796156.2363734,3658908.1317911,8651143.011497399,17649544.480217002,30702665.335722998
BGD,optimistic,2050.0,892475.9507894401,574912.6004422999,862394.0745239999,1115631.196944,1968533.267604,6174327.7623931,14430921.4439624,27861066.252958998
BGD,optimistic,2100.0,1272936.3239795,849251.801137,1204923.1414551,1580720.3147071,3144387.4038248,7975312.2739874,16834887.264617,29982976.392723
BGD,pessimistic,2050.0,926711.0123369399,598999.2628368,889213.9439239999,1157186.002437,2083114.7963917002,6387594.597993099,14711069.2358274,28120396.152959004
BGD,pessimistic,2100.0,1891652.4948518,1293502.3476534002,1866082.5049734002,2423049.4896734,5020593.377480401,10271806.7388884,19830601.204758,32167577.386529
BGR,current,2020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BGR,medium,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BGR,medium,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BGR,optimistic,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BGR,optimistic,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BGR,pessimistic,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BGR,pessimistic,2100.0,0.047192403,0.0,0.0,0.0,0.0,3.146160215,3.146160215,3.146160215
BHR,current,2020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BHR,medium,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BHR,medium,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BHR,optimistic,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BHR,optimistic,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BHR,pessimistic,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BHR,pessimistic,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BHS,current,2020.0,0.005391039,0.0,0.0,0.0,0.0,0.0,0.0,5.391038778
BHS,medium,2050.0,0.012884486,0.0,0.0,0.0,0.0,0.0,0.0,12.88448629
BHS,medium,2100.0,0.068096407,0.0,0.0,0.0,0.0,0.0,1.044601834,63.917999497
BHS,optimistic,2050.0,0.012884486,0.0,0.0,0.0,0.0,0.0,0.0,12.88448629
BHS,optimistic,2100.0,0.058282194,0.0,0.0,0.0,0.0,0.0,1.044601834,54.103786203999995
BHS,pessimistic,2050.0,0.012884486,0.0,0.0,0.0,0.0,0.0,0.0,12.88448629
BHS,pessimistic,2100.0,0.314429491,0.0,0.0,0.0,0.0,0.0,30.841086774999997,191.065143983
BIH,current,2020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BIH,medium,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BIH,medium,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BIH,optimistic,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BIH,optimistic,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BIH,pessimistic,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BIH,pessimistic,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BLM,current,2020.0,,,,,,,,
BLM,medium,2050.0,,,,,,,,
BLM,medium,2100.0,,,,,,,,
BLM,optimistic,2050.0,,,,,,,,
BLM,optimistic,2100.0,,,,,,,,
BLM,pessimistic,2050.0,,,,,,,,
BLM,pessimistic,2100.0,,,,,,,,
BLR,current,2020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BLR,medium,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BLR,medium,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BLR,optimistic,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BLR,optimistic,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BLR,pessimistic,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BLR,pessimistic,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BLZ,current,2020.0,1.8471825,0.0,0.0,0.0,0.0,0.0,273.4742871,753.2853517000001
BLZ,medium,2050.0,9.908531744,0.0,0.0,0.0,0.0,209.1265512,700.0156387999999,5017.20367712
BLZ,medium,2100.0,133.21134162399997,0.0,42.79421646,209.1265512,465.31083492000005,861.74299512,16635.34515455,36101.8307034
BLZ,optimistic,2050.0,7.134890686,0.0,0.0,0.0,0.0,170.6408724,635.5195557,2886.4037391200004
BLZ,optimistic,2100.0,96.01320494400001,0.0,0.0,42.79421646,277.98249100000004,772.31303392,13033.46732512,28884.786832381
BLZ,pessimistic,2050.0,13.268639004999999,0.0,0.0,0.0,0.0,209.1265512,700.0156387999999,8377.31094112
BLZ,pessimistic,2100.0,559.5645743910001,209.1265512,213.6347551,463.84545742,840.75212572,13237.1283017,28734.51238,46396.354320499995
BMU,current,2020.0,,,,,,,,
BMU,medium,2050.0,,,,,,,,
BMU,medium,2100.0,,,,,,,,
BMU,optimistic,2050.0,,,,,,,,
BMU,optimistic,2100.0,,,,,,,,
BMU,pessimistic,2050.0,,,,,,,,
BMU,pessimistic,2100.0,,,,,,,,
BOL,current,2020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOL,medium,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOL,medium,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOL,optimistic,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOL,optimistic,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOL,pessimistic,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOL,pessimistic,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRA,current,2020.0,26238.364695460004,21160.20209697,23982.228003770004,32808.82402713,37774.455610130004,39816.01664227,42261.78738097,44890.41066827
BRA,medium,2050.0,34976.85957613,26771.819818960004,45371.0242209,47710.86049819,49173.988656857,50715.226195856994,52717.163210577,58002.22887086
BRA,medium,2100.0,103383.23160061802,84865.43497661999,103009.93636072501,107684.56328562502,109846.72229161102,112983.23456761101,115965.536383546,118791.527026216
