admin0,AAD,PMD2,PMD5,PMD10,PMD25,PMD50,PMD_100,PMD250,PMD500,PMD1000,scenario,year
DOM,1447.181479,343.9710331,1617.724983,2715.720479,6104.45156,10676.87168,21922.27675,31541.07659,42455.07648,50821.88786,current,2020
DZA,925.0881465,418.5497281,1312.605912,1964.456134,2792.06038,3546.003551,4410.778609,5117.354979,7843.568105,8894.005015,current,2020
ECU,77261.3701,43162.55876,92882.56419,135391.3643,262401.5881,397010.5301,537874.5403,645014.7901,702515.5683,724934.184,current,2020
EGY,55571.93314,9557.194336,79315.21629,169410.5686,301767.7546,397291.5737,471168.3055,570855.0743,625235.43,672339.6869,current,2020
ERI,567.2144268,232.4718591,310.3408552,398.4242106,519.3340286,641.5104938,690.6090138,727.6638994,749.8938051,771.1453078,current,2020
ESH,37.97965166,2.565389993,48.77270508,52.23668229,97.54541016,626.460061,772.133189,846.2574386,993.947123,1135.64608,current,2020
ESP,2969.433821,1089.798063,3527.981913,7171.528659,13189.16171,17957.85212,22903.82823,40662.32857,46466.65632,67380.05136,current,2020
EST,4.37755829,0,0.768545508,8.030331671,29.07097541,47.35268335,76.64942993,138.5317397,209.657811,445.6745322,current,2020
ETH,74557.8038,35198.85008,77178.11577,91548.37931,108107.2463,112075.7165,115918.5819,126821.0166,133357.2135,135411.1926,current,2020
FIN,33.74106787,0.480492345,11.5256063,62.30384234,204.9662794,391.4206201,652.2005563,1241.85508,1491.044109,1973.942583,current,2020
FRA,8329.609485,1440.282598,9605.041793,24414.7537,43270.9256,62275.10573,80267.53012,127854.6906,199961.537,204272.36,current,2020
GAB,16552.80592,9522.998186,14631.81741,19186.67288,38403.43284,43359.36244,68696.50883,72667.43102,74250.87203,75912.16966,current,2020
GBR,785.9400362,150.4305392,834.936897,2204.699205,4709.247485,7482.886405,10714.24483,11950.85807,12725.57731,13681.6777,current,2020
GEO,698.0087614,378.6730394,808.7883464,1072.02454,1585.252269,2035.586478,2673.440008,12566.51488,13688.6827,14798.84542,current,2020
GHA,34006.51746,18636.86404,25118.05248,33638.10943,39596.76473,43304.42826,47421.93033,52239.67955,54802.16742,55599.77546,current,2020
GIN,79215.88673,35026.10278,42655.81262,56961.72436,73447.11213,81878.40834,86127.41072,90936.49622,93407.2216,95738.26592,current,2020
GMB,19419.64082,2535.321139,45635.31107,66961.57423,76734.50084,82853.76331,87423.61802,89669.3894,94303.32845,95334.57783,current,2020
GNB,2047.608257,998.8003234,3897.505099,5829.240609,7033.290812,7875.443335,8434.032918,8686.052232,8973.219733,9583.703913,current,2020
GNQ,1734.827589,1191.904026,2737.265925,4267.720373,5645.255835,7194.059537,8586.258192,10316.56732,10927.07489,11775.7176,current,2020
GRC,67.32830559,18.6248952,87.68239355,189.9014711,310.9434166,413.2752989,609.1707511,923.0128591,1062.384172,1155.394319,current,2020
GRL,0,0,0,0,0,0,0,0,0,0.86,current,2020
GTM,7260.496066,2743.451082,7553.025099,11340.2049,32556.38925,51938.03576,57657.7759,61179.76349,62589.9929,64543.22576,current,2020
GUF,2580.693278,1381.546979,3131.847016,5253.993387,8875.613582,12334.38581,14233.91052,18326.9541,19027.50049,19211.23997,current,2020
GUY,4883.918118,2819.394421,6104.755597,7810.659241,9337.591412,10667.53164,12392.16419,14296.9848,16004.68174,16438.94554,current,2020
HND,4412.027195,1982.872287,5661.963644,7977.446233,10570.05159,11416.92411,12380.6713,35443.3749,39307.83413,40210.72933,current,2020
