Period,Scenario,AAD,RP_10,RP_25,RP_50,RP_100,RP_250,iso3
hist,ERA-5,66905.57452897484,196632.22904087504,434750.3760814328,586784.4893828222,779841.8252951914,1223581.3635862588,USA
2050,ssp245,241289.4696999176,393382.03207168967,1074909.8943359423,1772370.040039565,2767189.91025385,4887371.737867047,USA
2100,ssp245,352549.23706731724,665297.692917415,1713495.2024010862,2793534.385754364,4116794.550012363,4750202.252483821,USA
2050,ssp370,240245.89284313645,465276.41740729054,1007038.725678715,1430209.587377414,1851474.2134179068,2859335.4597235536,USA
2100,ssp370,540891.8826518614,860541.9526029539,2353579.15660266,3642472.130810672,6929818.904613221,6182163.427878924,USA
2050,ssp585,283917.6132553555,534654.1204318384,1476306.8162490432,1725103.2455084317,3111113.0127313603,4157273.340818921,USA
2100,ssp585,652164.8291726368,1392841.6283464355,3232052.8743453897,5012419.854188699,6546856.808680918,5719274.020390503,USA
hist,ERA-5,16.080234235494242,0.0,0.0,0.0,0.0,0.0,MDV
2050,ssp245,304.92374954735294,0.0,0.0,0.0,0.0,397.6319824205319,MDV
2100,ssp245,682.8571581934161,0.0,0.0,0.0,0.0,849.3942913867521,MDV
2050,ssp370,173.64803545192444,0.0,0.0,0.0,0.0,1090.0368039098405,MDV
2100,ssp370,560.2463064161814,0.0,0.0,0.0,29.78474536174483,641.9311035136092,MDV
2050,ssp585,56.483444788893365,0.0,0.0,0.0,0.0,444.02055482751945,MDV
2100,ssp585,892.0510283262084,0.0,0.0,0.0,472.091552034427,9932.128511696255,MDV
hist,ERA-5,22.377031049322664,0.0,0.0,0.0,0.0,0.0,SYC
2050,ssp245,22.45272269990061,0.0,0.0,0.0,0.0,0.0,SYC
2100,ssp245,78.05821923011716,0.0,0.0,0.0,0.0,37.64897672702969,SYC
2050,ssp370,23.04292686068247,0.0,0.0,0.0,0.0,29.64969551766688,SYC
2100,ssp370,198.24784548376843,0.0,0.0,0.0,0.0,76.739217382732,SYC
2050,ssp585,24.26640279893185,0.0,0.0,0.0,0.0,0.0,SYC
2100,ssp585,22.410450367487154,0.0,0.0,0.0,0.0,32.96381679466727,SYC
hist,ERA-5,546.3188128317854,0.0,0.0,0.0,0.0,4318.288309531985,KHM
2050,ssp245,9927.410055983502,0.0,0.0,0.0,5720.29646775695,276953.2189060221,KHM
