admin0,scenario,year,AAD,PMD_10,PMD_25,PMD_50,PMD_100,PMD_250
AUT,medium,2100,,,,,,
AUT,optimistic,2050,,,,,,
AUT,optimistic,2100,,,,,,
AUT,pessimistic,2050,,,,,,
AUT,pessimistic,2100,,,,,,
AZE,current,2020,,,,,,
AZE,medium,2050,,,,,,
AZE,medium,2100,,,,,,
AZE,optimistic,2050,,,,,,
AZE,optimistic,2100,,,,,,
AZE,pessimistic,2050,,,,,,
AZE,pessimistic,2100,,,,,,
BDI,current,2020,,,,,,
BDI,medium,2050,,,,,,
BDI,medium,2100,,,,,,
BDI,optimistic,2050,,,,,,
BDI,optimistic,2100,,,,,,
BDI,pessimistic,2050,,,,,,
BDI,pessimistic,2100,,,,,,
BEL,current,2020.0,0.0,0.0,0.0,0.0,0.0,0.0
BEL,medium,2050,0.0,0.0,0.0,0.0,0.0,0.0
BEL,medium,2100,0.0,0.0,0.0,0.0,0.0,0.0
BEL,optimistic,2050,0.0,0.0,0.0,0.0,0.0,0.0
BEL,optimistic,2100,0.0,0.0,0.0,0.0,0.0,0.0
BEL,pessimistic,2050,0.0,0.0,0.0,0.0,0.0,0.0
BEL,pessimistic,2100,0.0,0.0,0.0,0.0,0.0,0.0
BEN,current,2020.0,0.0,0.0,0.0,0.0,0.0,0.0
BEN,medium,2050,0.0,0.0,0.0,0.0,0.0,0.0
BEN,medium,2100,0.0,0.0,0.0,0.0,0.0,0.0
BEN,optimistic,2050,0.0,0.0,0.0,0.0,0.0,0.0
BEN,optimistic,2100,0.0,0.0,0.0,0.0,0.0,0.0
BEN,pessimistic,2050,0.0,0.0,0.0,0.0,0.0,0.0
BEN,pessimistic,2100,0.0,0.0,0.0,0.0,0.0,0.0
BES,current,2020,,,,,,
BES,medium,2050,,,,,,
BES,medium,2100,,,,,,
BES,optimistic,2050,,,,,,
BES,optimistic,2100,,,,,,
BES,pessimistic,2050,,,,,,
BES,pessimistic,2100,,,,,,
BFA,current,2020,,,,,,
BFA,medium,2050,,,,,,
BFA,medium,2100,,,,,,
BFA,optimistic,2050,,,,,,
BFA,optimistic,2100,,,,,,
BFA,pessimistic,2050,,,,,,
BFA,pessimistic,2100,,,,,,
BGD,current,2020.0,97.2372969463678,0.0,0.0,0.0,0.0,0.0
BGD,medium,2050,1892.4410486204235,0.0,0.0,0.0,0.0,17142.366704029257
BGD,medium,2100,896.3168855988903,0.0,0.0,0.0,0.0,20037.605043936062
BGD,optimistic,2050,2456.42721617366,0.0,0.0,0.0,0.0,6274.701747537256
BGD,optimistic,2100,1222.1428399570646,0.0,0.0,0.0,0.0,4772.268465106438
BGD,pessimistic,2050,951.836629640475,0.0,0.0,0.0,0.0,4485.043601396207
BGD,pessimistic,2100,11675.445040945966,0.0,0.0,0.0,11033.225229735584,383223.60883652937
BGR,current,2020,,,,,,
BGR,medium,2050,,,,,,
BGR,medium,2100,,,,,,
BGR,optimistic,2050,,,,,,
BGR,optimistic,2100,,,,,,
BGR,pessimistic,2050,,,,,,
BGR,pessimistic,2100,,,,,,
BHR,current,2020.0,0.0,0.0,0.0,0.0,0.0,0.0
BHR,medium,2050,0.0,0.0,0.0,0.0,0.0,0.0
BHR,medium,2100,0.0,0.0,0.0,0.0,0.0,0.0
BHR,optimistic,2050,0.0,0.0,0.0,0.0,0.0,0.0
BHR,optimistic,2100,0.0,0.0,0.0,0.0,0.0,0.0
BHR,pessimistic,2050,0.0,0.0,0.0,0.0,0.0,0.0
BHR,pessimistic,2100,0.0,0.0,0.0,0.0,0.0,0.0
BHS,current,2020.0,0.3286596539414368,0.0,0.0,0.0,0.0,0.0
BHS,medium,2050,55.902640988042215,0.0,0.0,0.0,0.0,31.01351398411432
BHS,medium,2100,395.83369770223993,0.0,0.0,0.0,52.12973867887476,1738.896581271246
BHS,optimistic,2050,24.35608593073596,0.0,0.0,0.0,0.0,1033.153953943502
BHS,optimistic,2100,141.60054340658175,0.0,0.0,0.0,0.0,4553.748125808438
BHS,pessimistic,2050,28.526319708937653,0.0,0.0,0.0,28.80966373842155,4308.997165901244
BHS,pessimistic,2100,85.97497533040914,0.0,0.0,0.0,1140.0772619101567,5627.714188788935
BIH,current,2020,,,,,,
BIH,medium,2050,,,,,,
BIH,medium,2100,,,,,,
BIH,optimistic,2050,,,,,,
BIH,optimistic,2100,,,,,,
BIH,pessimistic,2050,,,,,,
BIH,pessimistic,2100,,,,,,
BLM,current,2020,,,,,,
BLM,medium,2050,,,,,,
BLM,medium,2100,,,,,,
BLM,optimistic,2050,,,,,,
BLM,optimistic,2100,,,,,,
BLM,pessimistic,2050,,,,,,
BLM,pessimistic,2100,,,,,,
BLR,current,2020,,,,,,
BLR,medium,2050,,,,,,
BLR,medium,2100,,,,,,
BLR,optimistic,2050,,,,,,
BLR,optimistic,2100,,,,,,
BLR,pessimistic,2050,,,,,,
BLR,pessimistic,2100,,,,,,
BLZ,current,2020.0,218.14911873481,0.0,0.0,0.0,0.0,0.0
BLZ,medium,2050,247.9095158679197,0.0,0.0,0.0,0.0,116.95879634199072
BLZ,medium,2100,218.14911873481,0.0,0.0,0.0,0.0,0.0
BLZ,optimistic,2050,278.9809510854153,0.0,0.0,0.0,0.0,4.946061756086189
BLZ,optimistic,2100,336.7357050387212,0.0,0.0,0.0,0.0,14.75085959961214
BLZ,pessimistic,2050,261.7802167723228,0.0,0.0,0.0,0.0,3488.408016868101
BLZ,pessimistic,2100,253.47087247144444,0.0,0.0,0.0,0.0,0.0
BMU,current,2020.0,0.0,0.0,0.0,0.0,0.0,0.0
BMU,medium,2050,0.0,0.0,0.0,0.0,0.0,0.0
BMU,medium,2100,0.0,0.0,0.0,0.0,0.0,0.0
BMU,optimistic,2050,0.0,0.0,0.0,0.0,0.0,0.0
BMU,optimistic,2100,0.0,0.0,0.0,0.0,0.0,0.0
BMU,pessimistic,2050,0.0,0.0,0.0,0.0,0.0,0.0
BMU,pessimistic,2100,0.0,0.0,0.0,0.0,0.0,0.0
BOL,current,2020,,,,,,
BOL,medium,2050,,,,,,
BOL,medium,2100,,,,,,
BOL,optimistic,2050,,,,,,
BOL,optimistic,2100,,,,,,
BOL,pessimistic,2050,,,,,,
BOL,pessimistic,2100,,,,,,
BRA,current,2020.0,0.0,0.0,0.0,0.0,0.0,0.0
BRA,medium,2050,0.0,0.0,0.0,0.0,0.0,0.0
BRA,medium,2100,0.0,0.0,0.0,0.0,0.0,0.0
BRA,optimistic,2050,0.0,0.0,0.0,0.0,0.0,0.0
BRA,optimistic,2100,0.0,0.0,0.0,0.0,0.0,0.0
BRA,pessimistic,2050,0.0,0.0,0.0,0.0,0.0,0.0
BRA,pessimistic,2100,0.0,0.0,0.0,0.0,0.0,0.0
BRB,current,2020.0,281.0262699048401,0.0,0.0,0.0,0.0,0.0
BRB,medium,2050,281.76052651002027,0.0,0.0,0.0,0.0,0.0
BRB,medium,2100,281.0262699048401,0.0,0.0,0.0,0.0,0.0
BRB,optimistic,2050,281.0262699048401,0.0,0.0,0.0,0.0,0.0
BRB,optimistic,2100,281.0262699048401,0.0,0.0,0.0,0.0,0.0
BRB,pessimistic,2050,428.5414367883477,0.0,0.0,0.0,0.0,0.0
BRB,pessimistic,2100,281.0262699048401,0.0,0.0,0.0,0.0,0.0
BRN,current,2020,,,,,,
BRN,medium,2050,,,,,,
BRN,medium,2100,,,,,,
BRN,optimistic,2050,,,,,,
BRN,optimistic,2100,,,,,,
BRN,pessimistic,2050,,,,,,
BRN,pessimistic,2100,,,,,,
BTN,current,2020,,,,,,
BTN,medium,2050,,,,,,
BTN,medium,2100,,,,,,
BTN,optimistic,2050,,,,,,
BTN,optimistic,2100,,,,,,
BTN,pessimistic,2050,,,,,,
BTN,pessimistic,2100,,,,,,
BWA,current,2020.0,0.0,0.0,0.0,0.0,0.0,0.0
BWA,medium,2050,0.0,0.0,0.0,0.0,0.0,0.0
BWA,medium,2100,0.0,0.0,0.0,0.0,0.0,0.0
BWA,optimistic,2050,0.0,0.0,0.0,0.0,0.0,0.0
BWA,optimistic,2100,0.0,0.0,0.0,0.0,0.0,0.0
BWA,pessimistic,2050,0.0,0.0,0.0,0.0,0.0,0.0
BWA,pessimistic,2100,0.0,0.0,0.0,0.0,0.0,0.0
CAF,current,2020,,,,,,
CAF,medium,2050,,,,,,
CAF,medium,2100,,,,,,
CAF,optimistic,2050,,,,,,
CAF,optimistic,2100,,,,,,
CAF,pessimistic,2050,,,,,,
CAF,pessimistic,2100,,,,,,
CAN,current,2020.0,0.4958106003424194,0.0,0.0,0.0,0.0,0.0
CAN,medium,2050,107.31697438071149,0.0,0.0,16.941252236162565,790.220565916049,9003.647740127975
CAN,medium,2100,97.88531496803525,0.0,0.0,212.1556796428397,1900.2750048476748,8595.484267871014
CAN,optimistic,2050,94.60841795954931,0.0,0.0,170.95366714925325,2967.1858803738523,4786.2749273859845
CAN,optimistic,2100,92.80489693932552,0.0,0.0,334.4771992904483,936.7996731158572,11007.424794222356
CAN,pessimistic,2050,107.60980331161312,0.0,0.0,100.42560378519488,1289.9073720398455,15666.436404554395
CAN,pessimistic,2100,271.77370642820586,0.0,38.72055689037023,3087.895438038798,9594.7190466233,16578.745419005285
CHE,current,2020.0,0.0,0.0,0.0,0.0,0.0,0.0
CHE,medium,2050,0.0,0.0,0.0,0.0,0.0,0.0
CHE,medium,2100,0.0,0.0,0.0,0.0,0.0,0.0
CHE,optimistic,2050,0.0,0.0,0.0,0.0,0.0,0.0
CHE,optimistic,2100,0.0,0.0,0.0,0.0,0.0,0.0
CHE,pessimistic,2050,0.0,0.0,0.0,0.0,0.0,0.0
CHE,pessimistic,2100,0.0,0.0,0.0,0.0,0.0,0.0
CHL,current,2020.0,0.0,0.0,0.0,0.0,0.0,0.0
