time_horizon,scenario,GID_1,AAD_low,RP_10_low,RP_25_low,RP_50_low,RP_100_low,RP_250_low,AAD_medium,RP_10_medium,RP_25_medium,RP_50_medium,RP_100_medium,RP_250_medium,AAD_high,RP_10_high,RP_25_high,RP_50_high,RP_100_high,RP_250_high
2100,optimistic,USA.14_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hist,current,USA.15_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2050,optimistic,USA.15_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100,optimistic,USA.15_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hist,current,USA.16_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2050,optimistic,USA.16_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100,optimistic,USA.16_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hist,current,USA.17_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2050,optimistic,USA.17_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100,optimistic,USA.17_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hist,current,USA.18_1,0.025703123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2050,optimistic,USA.18_1,0.025703123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100,optimistic,USA.18_1,0.025703123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hist,current,USA.19_1,3539.322959,0,19749.88982,73868.69285,103578.6211,166637.0553,1612.35777,0,1003.122395,30039.8608,58815.23396,95835.00203,746.732225,0,0,803.8782075,21316.95767,61411.81739
2050,optimistic,USA.19_1,16481.58112,67826.48542,103559.2883,155757.3593,339973.899,540411.1086,11231.01536,37328.90155,66979.34987,109399.9166,119218.3115,207636.138,6604.38869,13580.15871,73251.81803,84088.32422,80618.79953,149292.6577
2100,optimistic,USA.19_1,28512.91845,68202.60152,112674.1285,203528.7281,394868.8202,914368.4947,16884.90854,44410.15459,96223.94349,118580.6292,153227.5512,393220.6794,8296.431476,17047.41292,87462.87785,86370.11434,89221.0329,106719.6685
hist,current,USA.20_1,1.24334878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2050,optimistic,USA.20_1,49.87881766,0,0,0,123.157531,6861.52645,1.132285049,0,0,0,0,193.954231,0.207637597,0,0,0,0,1.41431934
2100,optimistic,USA.20_1,34.57397554,0,0,3.223240673,532.4202053,2193.590934,16.97215023,0,0,0,0,477.1839419,7.80641287,0,0,0,0,175.0911377
