,building_type,v_half_median,v_thresh_median,v_half_max,v_thresh_max,v_half_min,v_thresh_min
0,reinforced_concrete,92.57499999999999,61.71666666666667,116.725,76.475,68.425,45.61666666666667
1,reinforced_masonery,80.5,53.666666666666664,100.625,67.08333333333333,60.375,40.25
2,steel,104.65,69.76666666666667,116.725,76.475,71.10833333333333,46.958333333333336
3,wood,71.10833333333333,46.958333333333336,88.55,59.03333333333333,61.71666666666667,41.59166666666666
4,adobe,71.10833333333333,46.958333333333336,91.23333333333333,60.375,41.59166666666666,28.175
5,other,77.81666666666666,50.98333333333333,91.23333333333333,60.375,64.4,42.93333333333333
6,precast_concrete,98.6125,65.74166666666667,116.725,76.475,81.84166666666667,53.666666666666664
